image_path,bbox,landmark,x_norm,y_norm,visibility,class,center_x,center_y,unit_length
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",LEFT_SHOULDER,-0.30580452046622714,-0.5128367493983137,0.9999951124191284,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",RIGHT_SHOULDER,-0.2751531901475691,0.5187887409324069,0.9999910593032837,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",LEFT_HIP,0.2811530225862174,-0.30075704782650003,0.9998772144317627,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",RIGHT_HIP,0.2998046880275788,0.29480505629240683,0.9999359846115112,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",LEFT_ELBOW,-0.054193313600374694,-0.7113829049522805,0.9977782368659973,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",RIGHT_ELBOW,0.051150071926268276,0.6604118791831435,0.9867681860923767,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",LEFT_WRIST,0.14121323257927076,-0.541517457415483,0.9980731010437012,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",RIGHT_WRIST,0.23919660644898866,0.7981929984107204,0.9976015686988831,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",LEFT_KNEE,0.138232406995695,-0.73101207953307,0.9944891929626465,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",RIGHT_KNEE,0.44105778802731216,0.27556455333763247,0.9968323111534119,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",LEFT_ANKLE,0.3383914354824405,0.6161419523496517,0.9065821170806885,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[233, 500, 1064, 849]",RIGHT_ANKLE,1.044475060023169,0.14124478357008846,0.9731076955795288,sitting,0.4135739356279373,0.4631159156560898,0.5214061914271004
